Customer ID	Gender	Birth Date	Married	Dependents	Number of Dependents	Country	City	Number of Referrals	Tenure in Months	Avg Monthly Long Distance Charges	Internet Service	Internet Type	Avg Monthly GB Download	Premium Tech Support	Streaming Movies	Streaming Music	Contract	Paperless Billing	Payment Method	Monthly Charge	Total Refunds	Satisfaction Score
8779-QRDMV	Male	1946/07/17	No	No	0	United States	Los Angeles	0	1	0.0	Yes	DSL	8	No	Yes	No	Month-to-Month	Yes	Bank Withdrawal	39.65	0.0	3
7495-OOKFY	Female	1950/11/12	Yes	Yes	1	United States	Los Angeles	1	8	48.85	Yes	Fiber Optic	17	No	No	No	Month-to-Month	Yes	Credit Card	80.65	0.0	3
1658-BYGOY	Male	1953/03/21	No	Yes	3	United States	Los Angeles	0	18	11.33	Yes	Fiber Optic	52	No	Yes	Yes	Month-to-Month	Yes	Bank Withdrawal	95.45	45.61	2
4598-XLKNJ	Female	1946/03/08	Yes	Yes	1	United States	Inglewood	1	25	19.76	Yes	Fiber Optic	12	No	Yes	No	Month-to-Month	Yes	Bank Withdrawal	98.5	13.43	2
4846-WHAFZ	Female	1944/04/02	Yes	Yes	1	United States	Whittier	1	37	6.33	Yes	Fiber Optic	14	No	No	No	Month-to-Month	Yes	Bank Withdrawal	76.5	0.0	2
4412-YLTKF	Female	1952/05/19	No	Yes	1	United States	Pico Rivera	0	27	3.33	Yes	Fiber Optic	18	No	No	No	Month-to-Month	Yes	Bank Withdrawal	78.05	0.0	1
0390-DCFDQ	Female	1948/03/07	Yes	Yes	2	United States	Los Alamitos	1	1	15.28	Yes	Fiber Optic	30	No	No	No	Month-to-Month	Yes	Mailed Check	70.45	0.0	2
3445-HXXGF	Male	1958/09/08	Yes	No	0	United States	Sierra Madre	6	58	0.0	Yes	DSL	24	No	Yes	No	Month-to-Month	Yes	Bank Withdrawal	45.3	40.95	1
2656-FMOKZ	Female	1954/01/07	No	Yes	2	United States	Pasadena	0	15	44.07	Yes	Fiber Optic	19	No	No	No	Month-to-Month	Yes	Mailed Check	74.45	0.0	2
2070-FNEXE	Female	1947/01/11	No	Yes	2	United States	Pasadena	0	7	26.95	Yes	Fiber Optic	18	No	No	No	Month-to-Month	No	Bank Withdrawal	76.45	11.05	2
0094-OIFMO	Female	1946/09/14	No	Yes	1	United States	North Hollywood	0	11	11.59	Yes	Fiber Optic	29	No	Yes	No	Month-to-Month	Yes	Bank Withdrawal	95.0	0.0	1
9947-OTFQU	Male	1959/11/14	No	No	0	United States	Covina	0	15	29.11	Yes	Fiber Optic	29	No	No	No	Month-to-Month	Yes	Bank Withdrawal	74.4	0.0	1
9514-JDSKI	Male	1947/06/12	Yes	No	0	United States	El Monte	1	1	0.0	Yes	DSL	12	No	No	No	Month-to-Month	No	Bank Withdrawal	40.2	0.0	2
7273-TEFQD	Male	1957/08/03	No	No	0	United States	La Puente	0	3	0.0	Yes	DSL	28	No	Yes	Yes	Month-to-Month	Yes	Bank Withdrawal	41.15	0.0	2
3606-TWKGI	Male	1956/06/30	No	No	0	United States	Rowland Heights	0	13	32.68	Yes	Cable	11	No	Yes	No	Month-to-Month	Yes	Bank Withdrawal	106.9	0.0	1
4385-GZQXV	Female	1956/04/03	No	No	0	United States	Ontario	0	16	9.43	Yes	Fiber Optic	9	Yes	Yes	Yes	Month-to-Month	Yes	Bank Withdrawal	94.45	0.0	1
3488-PGMQJ	Male	1958/12/03	No	No	0	United States	Alpine	0	8	1.78	Yes	Fiber Optic	7	No	No	No	Month-to-Month	Yes	Bank Withdrawal	74.5	0.0	2
7534-BFESC	Male	1955/11/02	No	No	0	United States	San Diego	0	24	30.87	Yes	Fiber Optic	15	No	No	No	Month-to-Month	Yes	Bank Withdrawal	76.1	0.0	2
8098-LLAZX	Female	1950/04/11	No	No	0	United States	San Diego	0	4	31.61	Yes	Fiber Optic	2	No	Yes	No	Month-to-Month	Yes	Bank Withdrawal	95.45	0.0	3
0265-EDXBD	Male	1948/12/30	Yes	No	0	United States	San Diego	2	32	47.34	Yes	Fiber Optic	10	No	No	No	Month-to-Month	Yes	Bank Withdrawal	74.9	0.0	2
2840-XANRC	Male	1947/05/10	Yes	No	0	United States	San Diego	1	24	16.1	Yes	Cable	12	No	Yes	Yes	Month-to-Month	Yes	Bank Withdrawal	93.15	0.0	2
5020-ZSTTY	Female	1954/08/08	No	No	0	United States	San Diego	0	54	12.08	Yes	DSL	5	Yes	Yes	Yes	One Year	No	Bank Withdrawal	82.45	0.0	1
5804-LEPIM	Female	1950/01/12	No	No	0	United States	San Diego	0	2	13.17	Yes	Fiber Optic	10	No	No	No	Month-to-Month	Yes	Bank Withdrawal	70.35	0.0	3
0623-IIHUG	Female	1947/11/22	No	No	0	United States	San Diego	0	21	0.0	Yes	Cable	8	No	No	No	Month-to-Month	Yes	Bank Withdrawal	41.9	0.0	1
9057-MSWCO	Male	1953/08/05	Yes	No	0	United States	San Diego	0	27	0.0	Yes	Cable	13	No	No	No	Month-to-Month	No	Credit Card	30.75	0.0	1
4895-TMWIR	Male	1945/07/28	Yes	No	0	United States	San Diego	1	11	29.54	No		0	No	No	No	Month-to-Month	No	Mailed Check	19.95	0.0	1
0533-BNWKF	Female	1958/06/06	Yes	No	0	United States	San Diego	2	55	42.82	Yes	Fiber Optic	27	No	No	No	Month-to-Month	Yes	Bank Withdrawal	85.45	0.0	1
0334-GDDSO	Male	1947/06/23	No	No	0	United States	San Diego	0	3	9.22	Yes	Fiber Optic	14	No	No	No	Month-to-Month	Yes	Bank Withdrawal	81.35	0.0	1
5564-NEMQO	Female	1944/09/10	No	No	0	United States	Thermal	0	1	35.09	Yes	Fiber Optic	17	No	No	No	Month-to-Month	Yes	Bank Withdrawal	75.3	0.0	2
6235-VDHOM	Female	1947/11/20	No	No	0	United States	Riverside	0	5	0.0	Yes	DSL	26	No	No	No	Month-to-Month	No	Bank Withdrawal	28.45	0.0	2
5609-CEBID	Female	1947/04/01	No	No	0	United States	Hemet	0	20	48.73	Yes	Fiber Optic	12	No	Yes	No	Month-to-Month	Yes	Bank Withdrawal	94.1	0.0	1
5956-VKDTT	Female	1952/11/23	Yes	No	0	United States	Moreno Valley	4	5	45.76	Yes	Fiber Optic	22	No	No	No	Month-to-Month	Yes	Bank Withdrawal	74.35	0.0	1
0257-ZESQC	Female	1944/04/04	Yes	No	0	United States	Perris	2	27	7.02	Yes	Cable	25	No	No	No	Month-to-Month	Yes	Bank Withdrawal	75.2	0.0	1
2865-TCHJW	Female	1950/01/04	No	No	0	United States	Anaheim	0	4	48.35	Yes	Cable	24	No	No	No	Month-to-Month	Yes	Bank Withdrawal	89.2	0.0	1
5192-EBGOV	Female	1956/11/06	No	No	0	United States	Brea	0	1	45.81	Yes	Fiber Optic	21	No	No	No	Month-to-Month	Yes	Bank Withdrawal	85.7	0.0	1
3419-SNJJD	Female	1946/09/08	Yes	No	0	United States	Yorba Linda	3	65	18.39	Yes	Fiber Optic	28	No	Yes	No	Month-to-Month	No	Bank Withdrawal	105.25	0.0	1
4554-YGZIH	Male	1949/12/04	Yes	No	0	United States	Summerland	3	49	22.92	Yes	Fiber Optic	14	No	Yes	No	Month-to-Month	No	Credit Card	90.05	0.0	2
5099-BAILX	Male	1947/06/23	Yes	No	0	United States	Santa Barbara	1	43	14.52	Yes	Fiber Optic	5	Yes	Yes	No	Month-to-Month	Yes	Bank Withdrawal	110.75	0.0	2
4913-EHYUI	Male	1944/06/17	Yes	No	0	United States	Alpaugh	0	56	48.8	Yes	Fiber Optic	12	No	Yes	No	One Year	Yes	Bank Withdrawal	104.55	0.0	1
1626-ERCMM	Male	1949/09/20	Yes	No	0	United States	Camp Nelson	7	20	5.31	Yes	Fiber Optic	10	No	Yes	Yes	Month-to-Month	Yes	Bank Withdrawal	94.55	0.0	1
5644-PDMZC	Female	1955/04/24	No	No	0	United States	Delano	0	2	47.47	Yes	Fiber Optic	19	No	Yes	Yes	Month-to-Month	No	Bank Withdrawal	89.5	0.0	2
4160-AMJTL	Female	1950/08/16	No	No	0	United States	Fellows	0	8	27.95	No		0	No	No	No	Month-to-Month	No	Bank Withdrawal	19.65	0.0	2
0823-HSCDJ	Male	1948/06/25	No	No	0	United States	Temecula	0	52	0.0	Yes	DSL	18	No	Yes	Yes	Month-to-Month	Yes	Bank Withdrawal	49.15	0.0	2
0067-DKWBL	Male	1955/05/14	No	No	0	United States	San Diego	0	2	43.99	Yes	DSL	27	No	No	No	Month-to-Month	Yes	Bank Withdrawal	49.25	0.0	2
5244-IRFIH	Male	1952/07/20	Yes	No	0	United States	San Diego	1	33	27.78	Yes	Fiber Optic	8	No	Yes	No	Month-to-Month	Yes	Bank Withdrawal	94.5	0.0	3
2684-EIWEO	Female	1955/08/31	No	No	0	United States	San Diego	0	30	45.88	Yes	Fiber Optic	19	No	No	No	Month-to-Month	No	Credit Card	91.7	0.0	1
6683-VLCTZ	Male	1951/01/10	No	No	0	United States	San Diego	0	20	44.44	Yes	Fiber Optic	13	No	Yes	No	Month-to-Month	Yes	Bank Withdrawal	98.55	0.0	3
0691-IFBQW	Female	1959/02/18	No	No	0	United States	Biola	0	46	2.37	Yes	Fiber Optic	20	No	Yes	Yes	One Year	Yes	Bank Withdrawal	110.0	0.0	1
3643-AHCFP	Male	1950/10/10	Yes	No	0	United States	Selma	1	7	21.91	Yes	Cable	11	No	Yes	No	Month-to-Month	Yes	Bank Withdrawal	95.6	0.0	3
9231-ZJYAM	Female	1959/11/29	No	No	0	United States	Squaw Valley	0	4	36.93	Yes	Fiber Optic	18	No	No	No	Month-to-Month	Yes	Bank Withdrawal	78.85	0.0	3
0727-BMPLR	Female	1958/05/09	No	No	0	United States	Fresno	0	55	37.38	Yes	Fiber Optic	7	No	Yes	Yes	One Year	Yes	Bank Withdrawal	100.0	0.0	3
0947-MUGVO	Male	1953/10/31	Yes	No	0	United States	Jolon	1	20	5.37	Yes	Fiber Optic	24	No	No	No	Month-to-Month	Yes	Bank Withdrawal	73.65	0.0	1
0781-LKXBR	Male	1959/09/07	No	No	0	United States	San Francisco	0	9	48.71	Yes	Fiber Optic	15	No	Yes	Yes	Month-to-Month	Yes	Bank Withdrawal	100.5	0.0	1
1907-UBQFC	Male	1955/09/16	No	No	0	United States	San Francisco	0	10	5.46	Yes	Fiber Optic	24	No	No	No	Month-to-Month	Yes	Bank Withdrawal	72.85	0.0	1
6513-EECDB	Male	1949/08/12	Yes	No	0	United States	San Francisco	0	1	36.92	Yes	Fiber Optic	6	No	No	No	Month-to-Month	Yes	Bank Withdrawal	73.55	0.0	2
7074-IEVOJ	Female	1949/12/26	No	No	0	United States	San Francisco	0	3	41.9	Yes	Fiber Optic	11	No	No	No	Month-to-Month	Yes	Bank Withdrawal	79.4	0.0	1
4750-ZRXIU	Female	1956/01/20	No	No	0	United States	Palo Alto	0	4	6.68	Yes	Cable	17	No	Yes	No	Month-to-Month	Yes	Bank Withdrawal	84.6	0.0	1
7028-DVOIQ	Male	1953/04/18	No	No	0	United States	Birds Landing	0	35	20.83	Yes	Fiber Optic	19	No	Yes	No	Month-to-Month	Yes	Bank Withdrawal	99.05	0.0	1
4208-UFFGW	Male	1944/10/19	No	No	0	United States	Byron	0	2	26.62	Yes	DSL	11	No	No	No	Month-to-Month	No	Credit Card	44.95	0.0	2
9889-TMAHG	Male	1958/03/13	No	No	0	United States	Fremont	0	8	11.57	Yes	Fiber Optic	27	Yes	Yes	Yes	Month-to-Month	No	Credit Card	100.3	0.0	1
8919-FYFQZ	Male	1951/05/29	Yes	No	0	United States	Livermore	2	44	0.0	Yes	Cable	28	No	No	No	Month-to-Month	Yes	Bank Withdrawal	30.35	0.0	1
6646-QVXLR	Male	1947/08/28	Yes	No	0	United States	Napa	1	62	7.11	Yes	Fiber Optic	16	No	Yes	Yes	One Year	Yes	Bank Withdrawal	103.75	0.0	1
9369-XFEHK	Female	1948/12/30	Yes	No	0	United States	Pleasanton	1	33	33.19	Yes	Cable	15	No	No	No	Month-to-Month	Yes	Bank Withdrawal	80.6	0.0	2
1374-DMZUI	Female	1959/09/17	No	No	0	United States	San Ramon	0	4	49.5	Yes	Fiber Optic	23	No	Yes	Yes	Month-to-Month	Yes	Bank Withdrawal	94.3	0.0	2
1989-PRJHP	Male	1949/02/19	Yes	No	0	United States	Pleasanton	1	27	10.6	Yes	Fiber Optic	23	No	No	No	Month-to-Month	Yes	Bank Withdrawal	75.5	0.0	1
4822-RVYBB	Male	1949/05/21	No	No	0	United States	Berkeley	0	8	40.45	Yes	Fiber Optic	29	No	Yes	No	Month-to-Month	Yes	Bank Withdrawal	100.6	0.0	1
